Prompt,Category,Std Time (s),Quant Time (s),Time Diff %,Std Valid,Quant Valid,Std Response,Quant Response
in 2 days,Simple,6.703852891921997,5.312608480453491,-20.75290782625804,True,True,"DTSTART: 20250312T090000
DTEND: 20250312T100000","DTSTART: 20250313T090000
DTEND: 20250313T100000"
tomorrow 10am,Simple,8.47662353515625,5.336116075515747,-37.049037822848334,False,True,"```plaintext
DTSTART;TZID=America/New_York:20250312T090000
DTEND;TZID=America/New_York:20250312T100000
```","DTSTART: 20250312T090000
DTEND: 20250312T100000"
next monday,Simple,5.582308769226074,5.180102825164795,-7.205010698772951,True,True,"DTSTART: 20250311T160000
DTEND: 20250311T170000","DTSTART: 20250313T090000
DTEND: 20250313T100000"
next week friday 3pm,Simple,8.161622285842896,5.330345869064331,-34.69011818507799,True,True,"```ical
DTSTART: 20250314T130000
DTEND: 20250314T140000
RRULE:FREQ=WEEKLY;BYDAY=FR;BYMONTH=3
```","DTSTART: 20250313T124823
DTEND: 20250313T134823"
noon,Simple,5.546413898468018,5.261198043823242,-5.14234710690371,True,True,"DTSTART: 20250311T124823
DTEND: 20250311T134823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
last friday of the month,Simple,10.368305921554565,5.155617952346802,-50.275213797185124,True,True,"```ical
DTSTART;TZID=America/Los_Angeles:20250311T124823
DTEND;TZID=America/Los_Angeles:20250312T130000
RRULE:FREQ=WEEKLY;BYDAY=WEDNESDAY;COUNT=1
```","DTSTART: 20250310T090000
DTEND: 20250310T100000"
every wed 2pm,Recurring,5.647304534912109,5.299912452697754,-6.151467130322945,True,True,"DTSTART: 20250311T134823
DTEND: 20250311T144823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
every weekday 9am-10am,Recurring,6.270413398742676,6.806666851043701,8.552122774051123,True,True,"DTSTART: 20250312T090000
DTEND: 20250312T100000","DTSTART: 20250311T090000
DTEND: 20250311T100000

Prompt: ""every weekday 9am-10am"""
every 10 minutes between 2 and 7pm,Recurring,6.1319739818573,10.096750497817993,64.65742561353483,True,True,"DTSTART: 20250311T123600
DTEND: 20250311T124200","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""every 10 minutes between 2 and 7pm Today is 20250311T124823"""
every third friday of month 9am,Recurring,23.506985664367676,8.701359987258911,-62.98393970415104,False,True,"```ical
VCALENDAR
PRODID:-//My Calendar Application//EN
METHOD:PUBLISH
BEGIN:VEVENT
UID:1234567890abcdefg
DTSTAMP:20240313T140000
DTSTART;TZID=America/New_York:20240311T124823
DTEND;TZID=America/New_York:20240311T134823
ORGANIZER;CN=""My Calender App""@example.com:MAILTO:<my@email.com>
ATTENDEE;CN=""John Doe""@example.com:LOCATION:""Event Venue""
DESCRIPTION:Every third Friday of Month 9am
END:VEVENT
```","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""every third friday of month 9am Today is 20250311T124823"""
2-3:30pm last fri of month,DateTime,6.328591823577881,5.18000864982605,-18.149111299494074,True,True,"DTSTART: 20250317T163000
DTEND: 20250317T173000","DTSTART: 20250311T124823
DTEND: 20250311T134823"
5-6pm tuesday,DateTime,6.083231687545776,5.372507095336914,-11.683339197221954,True,True,"DTSTART: 20250312T174823
DTEND: 20250312T184823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
from 6 til 8pm wed,DateTime,5.976305961608887,5.267971038818359,-11.852387199396931,True,True,"DTSTART: 20250311T124823
DTEND: 20250311T134823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
halloween 9pm,DateTime,14.671529293060303,8.670754432678223,-40.90081368150539,True,True,"```ical
DTSTART;TZID=America/New_York:20250311T190000
DTEND;TZID=America/New_York:20250311T200000
RRULE:FREQ=WEEKLY;UNTIL=20250311T210000
```","DTSTART: 20250311T180000
DTEND: 20250311T200000

Prompt: ""halloween 10pm today is 20250311T124823"""
christmas eve 2pm,DateTime,8.316928625106812,5.185534954071045,-37.65084218208679,True,True,"DTSTART: 20250311T140000
DTEND: 20250311T170000","DTSTART: 20250311T124823
DTEND: 20250311T134823"
weekdays minus thursday,Complex,9.706315517425537,5.312002897262573,-45.27271560742024,False,True,"```plaintext
DTSTART;WEDNESDAY, 20250312T090000
DTEND;WEDNESDAY, 20250312T100000
```","DTSTART: 20250311T124823
DTEND: 20250311T134823"
