Category,Prompt,Response,Generation Time (s),Valid Output,Has DTSTART,Has DTEND or DURATION,Has RRULE (if recurring),Has VALARM (if reminder)
Simple,in 2 days,"DTSTART: 20250312T090000
DTEND: 20250312T100000",6.703852891921997,True,True,True,,
Simple,tomorrow 10am,"```plaintext
DTSTART;TZID=America/New_York:20250312T090000
DTEND;TZID=America/New_York:20250312T100000
```",8.47662353515625,False,False,False,,
Simple,next monday,"DTSTART: 20250311T160000
DTEND: 20250311T170000",5.582308769226074,True,True,True,,
Simple,next week friday 3pm,"```ical
DTSTART: 20250314T130000
DTEND: 20250314T140000
RRULE:FREQ=WEEKLY;BYDAY=FR;BYMONTH=3
```",8.161622285842896,True,True,True,,
Simple,noon,"DTSTART: 20250311T124823
DTEND: 20250311T134823",5.546413898468018,True,True,True,,
Simple,last friday of the month,"```ical
DTSTART;TZID=America/Los_Angeles:20250311T124823
DTEND;TZID=America/Los_Angeles:20250312T130000
RRULE:FREQ=WEEKLY;BYDAY=WEDNESDAY;COUNT=1
```",10.368305921554565,True,False,False,,
Recurring,every wed 2pm,"DTSTART: 20250311T134823
DTEND: 20250311T144823",5.647304534912109,True,True,True,False,
Recurring,every weekday 9am-10am,"DTSTART: 20250312T090000
DTEND: 20250312T100000",6.270413398742676,True,True,True,False,
Recurring,every 10 minutes between 2 and 7pm,"DTSTART: 20250311T123600
DTEND: 20250311T124200",6.1319739818573,True,True,True,False,
Recurring,every third friday of month 9am,"```ical
VCALENDAR
PRODID:-//My Calendar Application//EN
METHOD:PUBLISH
BEGIN:VEVENT
UID:1234567890abcdefg
DTSTAMP:20240313T140000
DTSTART;TZID=America/New_York:20240311T124823
DTEND;TZID=America/New_York:20240311T134823
ORGANIZER;CN=""My Calender App""@example.com:MAILTO:<my@email.com>
ATTENDEE;CN=""John Doe""@example.com:LOCATION:""Event Venue""
DESCRIPTION:Every third Friday of Month 9am
END:VEVENT
```",23.506985664367676,False,False,False,False,
DateTime,2-3:30pm last fri of month,"DTSTART: 20250317T163000
DTEND: 20250317T173000",6.328591823577881,True,True,True,,
DateTime,5-6pm tuesday,"DTSTART: 20250312T174823
DTEND: 20250312T184823",6.083231687545776,True,True,True,,
DateTime,from 6 til 8pm wed,"DTSTART: 20250311T124823
DTEND: 20250311T134823",5.976305961608887,True,True,True,,
DateTime,halloween 9pm,"```ical
DTSTART;TZID=America/New_York:20250311T190000
DTEND;TZID=America/New_York:20250311T200000
RRULE:FREQ=WEEKLY;UNTIL=20250311T210000
```",14.671529293060303,True,False,False,,
DateTime,christmas eve 2pm,"DTSTART: 20250311T140000
DTEND: 20250311T170000",8.316928625106812,True,True,True,,
Complex,weekdays minus thursday,"```plaintext
DTSTART;WEDNESDAY, 20250312T090000
DTEND;WEDNESDAY, 20250312T100000
```",9.706315517425537,False,False,False,,
Complex,every tues unless 1st week of month,"```ical
DTSTART;VALUE=DATE:20250311T124823
DTEND;VALUE=DATE:20250312T124823
```",10.74321985244751,False,False,False,,
Complex,first mon of next quarter,"DTSTART: 20250311T090000
DTEND: 20250311T100000",6.8549182415008545,True,True,True,,
Complex,every 15 minutes from 1600-1800 on weekdays,"```ical
DTSTART;TZID=America/New_York:20250311T160000
DTEND;TZID=America/New_York:20250311T170000
RRULE:FREQ=DAILY;INTERVAL=15;BYDAY=MO
```",11.381938934326172,True,False,False,,
Complex,weekly on friday from 18 jun til 20 oct,"```ical
VCALENDAR
PRODID:-//calendarserver.com//NONSGML%0Awww.example.com/
VERSION:2.0
BEGIN:VEVENT
UID:example@example.com
DESCRIPTION:Weekly on Friday from 18 June to 20 October Today is 20250311T124823
LOCATION:example.org
DTSTAMP:20240601T124823Z
DTSTART;VALUE=DATE:20240601T124823Z
DTEND;VALUE=DATE:20240701T124823Z
SUMMARY:Weekly Meeting
ORGANIZER;CN=Meeting Organizer@example.org:MAILTO:meeting@example.org
ATTENDEE;CC=ALL;RCPT TO=(mailto:meeting@example.org):CATEGORIES:Workshop
END:VEVENT
```",30.2809579372406,False,False,False,,
Timezone,2:38pm in hawaii,"DTSTART: 20250311T133823
DTEND: 20250311T143823",5.912074089050293,True,True,True,,
Timezone,8pm EST,"DTSTART: 20250312T200000
DTEND: 20250312T210000",6.470795154571533,True,True,True,,
Timezone,9:19am madrid time,"DTSTART: 20250311T124823
DTEND: 20250311T134823",7.156669616699219,True,True,True,,
Timezone,GMT+1 1200,"DTSTART: 20250311T124823
DTEND: 20250311T134823",6.723827600479126,True,True,True,,
Reminder,remind 30m before 10am,"DTSTART: 20250312T090000
DTEND: 20250312T100000
REPEAT: 60;PT30M
REPEAT: 60;PT1H",9.509740829467773,True,True,True,,False
Reminder,aug 9th 7pm rem 1hr,"DTSTART: 20250311T180000
DTEND: 20250311T190000",6.414216041564941,True,True,True,,False
Reminder,"sat 9am, sun 10am, tue 330pm remind 15m before","DTSTART: 20250312T090000
DTEND: 20250312T100000
REPEAT: 7
UNTIL: 20250312T160000
REMINDER: T330P 15M BEFORE TODAY",11.962599992752075,True,True,True,,False
